number,mass,inc
inc 32 - 33,437.39000000000004,32.5
inc 33 - 34,67.39,33.5
inc 50 - 51,60582.380000000005,50.5
inc 48 - 49,912.78,48.5
inc 66 - 67,9552.911,66.5
inc 28 - 29,13509.78,28.5
inc 47 - 48,2363.85,47.5
inc 58 - 59,647.66,58.5
inc 81 - 82,396750.6210000001,81.5
inc 80 - 81,41179.74,80.5
inc 52 - 53,35830.9,52.5
inc 89 - 90,11690.71,89.5
inc 69 - 70,81289.39,69.5
inc 79 - 80,8607.11,79.5
inc 65 - 66,37218.090000000004,65.5
inc 83 - 84,11148.15,83.5
inc 70 - 71,282976.25,70.5
inc 41 - 42,130611.0,41.5
inc 56 - 57,495.50000000000006,56.5
inc 35 - 36,11036.52,35.5
inc 59 - 60,3297.9300000000003,59.5
inc 34 - 35,32740.52,34.5
inc 75 - 76,3954.96,75.5
inc 82 - 83,849183.851999993,82.5
inc 78 - 79,1500.1499999999999,78.5
inc 88 - 89,29869.3,88.5
inc 77 - 78,3881.2799999999997,77.5
inc 39 - 40,6364.0,39.5
inc 74 - 75,66784.44999999978,74.5
inc 62 - 63,7740.05,62.5
inc 73 - 74,18097.23999999999,73.5
inc 68 - 69,421.46000000000004,68.5
inc 29 - 30,401.45,29.5
inc 64 - 65,32296.88,64.5
inc 87 - 88,100051.62,87.5
inc 84 - 85,2638.0699999999997,84.5
inc 85 - 86,4591.78,85.5
inc 49 - 50,23206.58,49.5
inc 46 - 47,852.24,46.5
inc 63 - 64,50710.01,63.5
inc 71 - 72,29351.63000000001,71.5
inc 44 - 45,2865.3199999999997,44.5
inc 24 - 25,1372.94,24.5
inc 86 - 87,133799.0,86.5
inc 45 - 46,8209.775000000001,45.5
inc 72 - 73,832.0,72.5
inc 51 - 52,670845.68,51.5
inc 31 - 32,2791.64,31.5
inc 67 - 68,62795.0,67.5
inc 20 - 21,1470.0,20.5
inc 25 - 26,4277.0,25.5
inc 9 - 10,3510.0,9.5
inc 8 - 9,180.0,8.5
inc 19 - 20,42.0,19.5
inc 6 - 7,360.0,6.5
inc 5 - 6,1513.0,5.5
inc 14 - 15,201.0,14.5
inc 30 - 31,2760.0,30.5
inc 43 - 44,1496210.0,43.5
inc 0 - 1,440.0,0.5
inc 36 - 37,1939.8,36.5
inc 23 - 24,1921.0,23.5
inc 26 - 27,288.0,26.5
inc 53 - 54,2217664.0,53.5
inc 37 - 38,196.0,37.5
inc 42 - 43,595673.0,42.5
inc 54 - 55,2697.0,54.5
inc 55 - 56,237.0,55.5
inc 40 - 41,493.0,40.5
inc 61 - 62,24.0,61.5
inc 11 - 12,2000.0,11.5
