number,mass,inc
inc 62 - 63,7740.05,62.5
inc 73 - 74,18097.23999999999,73.5
inc 68 - 69,421.46000000000004,68.5
inc 29 - 30,401.45,29.5
inc 64 - 65,32296.88,64.5
inc 87 - 88,100051.62,87.5
inc 84 - 85,2638.0699999999997,84.5
inc 85 - 86,4591.78,85.5
inc 49 - 50,23206.58,49.5
inc 46 - 47,852.24,46.5
inc 63 - 64,50710.01,63.5
inc 71 - 72,29351.63000000001,71.5
inc 44 - 45,2865.3199999999997,44.5
inc 24 - 25,1372.94,24.5
inc 86 - 87,133799.0,86.5
inc 45 - 46,8209.775000000001,45.5
